,road,vol,speed,last-update-time
8241,公园中路(人民路-河南路),7.0,18.0,2012-11-14  19:33:00 
8242,公园中路(人民路-河南路),12.0,23.0,2012-11-14  19:32:00 
8243,公园中路(人民路-河南路),6.0,24.0,2012-11-14  19:31:00 
8244,公园中路(人民路-河南路),14.0,21.0,2012-11-14  19:30:00 
8245,公园中路(人民路-河南路),7.0,27.0,2012-11-14  19:29:00 
8246,公园中路(人民路-河南路),6.0,24.0,2012-11-14  19:27:58 
8247,公园中路(人民路-河南路),6.0,25.0,2012-11-14  19:27:00 
8248,公园中路(人民路-河南路),10.0,18.0,2012-11-14  19:26:00 
8249,公园中路(人民路-河南路),5.0,11.0,2012-11-14  19:25:00 
8250,公园中路(人民路-河南路),5.0,29.0,2012-11-14  19:23:59 
8251,公园中路(人民路-河南路),7.0,19.0,2012-11-14  19:22:59 
8252,公园中路(人民路-河南路),6.0,28.0,2012-11-14  19:21:59 
8253,公园中路(人民路-河南路),7.0,25.0,2012-11-14  19:20:59 
8254,公园中路(人民路-河南路),8.0,21.0,2012-11-14  19:19:59 
8255,公园中路(人民路-河南路),5.0,38.0,2012-11-14  19:18:59 
8256,公园中路(人民路-河南路),10.0,52.0,2012-11-14  19:17:59 
8257,公园中路(人民路-河南路),8.0,53.0,2012-11-14  19:16:59 
8258,公园中路(人民路-河南路),6.0,42.0,2012-11-14  19:15:59 
8259,公园中路(人民路-河南路),9.0,32.0,2012-11-14  19:14:59 
8260,公园中路(人民路-河南路),6.0,50.0,2012-11-14  19:13:59 
8261,公园中路(人民路-河南路),15.0,39.0,2012-11-14  19:12:59 
8262,公园中路(人民路-河南路),6.0,53.0,2012-11-14  19:11:58 
8263,公园中路(人民路-河南路),9.0,42.0,2012-11-14  19:10:58 
8264,公园中路(人民路-河南路),8.0,55.0,2012-11-14  19:09:58 
8265,公园中路(人民路-河南路),3.0,49.0,2012-11-14  19:08:58 
8266,公园中路(人民路-河南路),12.0,65.0,2012-11-14  19:07:58 
8267,公园中路(人民路-河南路),6.0,31.0,2012-11-14  19:06:58 
8268,公园中路(人民路-河南路),10.0,19.0,2012-11-14  19:05:56 
8269,公园中路(人民路-河南路),8.0,19.0,2012-11-14  19:04:58 
8270,公园中路(人民路-河南路),9.0,14.0,2012-11-14  19:03:58 
8271,公园中路(人民路-河南路),1.0,19.0,2012-11-14  19:02:58 
8272,公园中路(人民路-河南路),12.0,21.0,2012-11-14  19:01:57 
8273,公园中路(人民路-河南路),6.0,23.0,2012-11-14  19:00:57 
8274,公园中路(人民路-河南路),14.0,21.0,2012-11-14  18:59:55 
8275,公园中路(人民路-河南路),4.0,38.0,2012-11-14  18:58:57 
8276,公园中路(人民路-河南路),9.0,20.0,2012-11-14  18:57:58 
8277,公园中路(人民路-河南路),8.0,25.0,2012-11-14  18:56:57 
8278,公园中路(人民路-河南路),5.0,19.0,2012-11-14  18:55:57 
8279,公园中路(人民路-河南路),11.0,18.0,2012-11-14  18:54:57 
8280,公园中路(人民路-河南路),2.0,17.0,2012-11-14  18:53:57 
8281,公园中路(人民路-河南路),12.0,55.0,2012-11-14  18:52:57 
8282,公园中路(人民路-河南路),4.0,22.0,2012-11-14  18:51:57 
8283,公园中路(人民路-河南路),12.0,31.0,2012-11-14  18:50:57 
8284,公园中路(人民路-河南路),4.0,24.0,2012-11-14  18:49:56 
8285,公园中路(人民路-河南路),5.0,26.0,2012-11-14  18:48:54 
8286,公园中路(人民路-河南路),9.0,38.0,2012-11-14  18:44:56 
8287,公园中路(人民路-河南路),9.0,21.0,2012-11-14  18:43:56 
8288,公园中路(人民路-河南路),4.0,16.0,2012-11-14  18:42:56 
8289,公园中路(人民路-河南路),13.0,29.0,2012-11-14  18:41:56 
8290,公园中路(人民路-河南路),12.0,20.0,2012-11-14  18:40:55 
8291,公园中路(人民路-河南路),5.0,24.0,2012-11-14  18:39:56 
8292,公园中路(人民路-河南路),8.0,17.0,2012-11-14  18:38:56 
8293,公园中路(人民路-河南路),6.0,25.0,2012-11-14  18:37:53 
8294,公园中路(人民路-河南路),12.0,41.0,2012-11-14  18:36:53 
8295,公园中路(人民路-河南路),7.0,39.0,2012-11-14  18:35:56 
8296,公园中路(人民路-河南路),8.0,26.0,2012-11-14  18:34:55 
8297,公园中路(人民路-河南路),6.0,30.0,2012-11-14  18:33:55 
8298,公园中路(人民路-河南路),11.0,16.0,2012-11-14  18:32:55 
8299,公园中路(人民路-河南路),10.0,21.0,2012-11-14  18:31:55 
8300,公园中路(人民路-河南路),10.0,24.0,2012-11-14  18:30:55 
8301,公园中路(人民路-河南路),5.0,27.0,2012-11-14  18:29:56 
8302,公园中路(人民路-河南路),7.0,27.0,2012-11-14  18:28:54 
8303,公园中路(人民路-河南路),7.0,27.0,2012-11-14  18:27:54 
8304,公园中路(人民路-河南路),4.0,25.0,2012-11-14  18:26:54 
8305,公园中路(人民路-河南路),3.0,25.0,2012-11-14  18:25:54 
8306,公园中路(人民路-河南路),9.0,24.0,2012-11-14  18:24:54 
8307,公园中路(人民路-河南路),12.0,33.0,2012-11-14  18:23:54 
8308,公园中路(人民路-河南路),7.0,20.0,2012-11-14  18:22:54 
8309,公园中路(人民路-河南路),6.0,31.0,2012-11-14  18:21:55 
8310,公园中路(人民路-河南路),2.0,27.0,2012-11-14  18:20:54 
8311,公园中路(人民路-河南路),6.0,27.0,2012-11-14  18:19:54 
8312,公园中路(人民路-河南路),7.0,27.0,2012-11-14  18:18:53 
8313,公园中路(人民路-河南路),8.0,29.0,2012-11-14  18:17:53 
8314,公园中路(人民路-河南路),3.0,40.0,2012-11-14  18:16:53 
8315,公园中路(人民路-河南路),14.0,42.0,2012-11-14  18:15:53 
8316,公园中路(人民路-河南路),9.0,77.0,2012-11-14  18:14:53 
8317,公园中路(人民路-河南路),7.0,23.0,2012-11-14  18:13:53 
8318,公园中路(人民路-河南路),12.0,29.0,2012-11-14  18:12:53 
8319,公园中路(人民路-河南路),3.0,34.0,2012-11-14  18:11:53 
8320,公园中路(人民路-河南路),13.0,51.0,2012-11-14  18:10:53 
8321,公园中路(人民路-河南路),4.0,33.0,2012-11-14  18:09:53 
8322,公园中路(人民路-河南路),7.0,29.0,2012-11-14  18:08:53 
8323,公园中路(人民路-河南路),6.0,38.0,2012-11-14  18:07:53 
8324,公园中路(人民路-河南路),8.0,37.0,2012-11-14  18:06:53 
8325,公园中路(人民路-河南路),9.0,63.0,2012-11-14  18:05:52 
8326,公园中路(人民路-河南路),7.0,28.0,2012-11-14  18:04:53 
8327,公园中路(人民路-河南路),4.0,32.0,2012-11-14  18:03:52 
8328,公园中路(人民路-河南路),10.0,54.0,2012-11-14  18:02:52 
8329,公园中路(人民路-河南路),7.0,51.0,2012-11-14  18:01:52 
8330,公园中路(人民路-河南路),11.0,49.0,2012-11-14  18:00:52 
8331,公园中路(人民路-河南路),7.0,32.0,2012-11-14  17:59:52 
8332,公园中路(人民路-河南路),8.0,51.0,2012-11-14  17:58:52 
8333,公园中路(人民路-河南路),13.0,40.0,2012-11-14  17:57:52 
8334,公园中路(人民路-河南路),10.0,47.0,2012-11-14  17:56:52 
8335,公园中路(人民路-河南路),10.0,48.0,2012-11-14  17:55:51 
8336,公园中路(人民路-河南路),16.0,44.0,2012-11-14  17:54:51 
8337,公园中路(人民路-河南路),12.0,44.0,2012-11-14  17:53:51 
8338,公园中路(人民路-河南路),5.0,37.0,2012-11-14  17:52:51 
8339,公园中路(人民路-河南路),19.0,47.0,2012-11-14  17:51:51 
8340,公园中路(人民路-河南路),15.0,43.0,2012-11-14  17:50:51 
8341,公园中路(人民路-河南路),13.0,44.0,2012-11-14  17:49:51 
8342,公园中路(人民路-河南路),13.0,35.0,2012-11-14  17:48:51 
8343,公园中路(人民路-河南路),15.0,33.0,2012-11-14  17:47:51 
8344,公园中路(人民路-河南路),9.0,26.0,2012-11-14  17:46:51 
8345,公园中路(人民路-河南路),8.0,50.0,2012-11-14  17:45:51 
8346,公园中路(人民路-河南路),17.0,34.0,2012-11-14  17:44:51 
8347,公园中路(人民路-河南路),6.0,8.0,2012-11-14  17:43:50 
8348,公园中路(人民路-河南路),11.0,18.0,2012-11-14  17:42:51 
